PeopleName,pronunciation,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3,
Sangil,san-gil,Philippines,8700,Sangil,Islam - Sunni,5.40229,125.37833,6,Unengaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0071,108642,Sangil,PHL,RP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PHL,sangil
Sanglechi,san-gle-chi,Afghanistan,2200,Sanglechi,Islam - Shia,36.712546,71.579345,1,Unengaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A005,C0211,108647,Sanglechi,AFG,AF,,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,AFG,sangl-ech-i
Sango,sango,"""Congo"," Democratic Republic of the""",2000,Sango,Christianity - Roman Catholicism,5.06698,19.8288,1,Unengaged,Extreme,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0003,108648,Sango,COD,CG,CT,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,COD,sango
Sangu,sangu,Tanzania,214000,Sangu (Tanzania),Ethnoreligion - Animism,-8.67697,34.309425,4,Unengaged,Strenuous,Partly Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A013,C0265,115350,"""Sangu"," Sango""",TZA,TZ,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,TZA,sangu
Sanhai,san-hai,India,4100,Chambeali,Hinduism,31.6042,76.5699,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,113510,"""Sanhai"," Hindu""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,sanhai
Sankaran,san-kara-n,Guinea,117000,Sankaran Maninka,Islam - Folk,10.3538,-10.1195,1,Unengaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A013,C0126,114711,Sankaran,GIN,GV,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,GIN,sank-aran
Sanqiao,san-qiao,China,6800,Southern Dong,Ethnoreligion,26.0052,109.1271,1,Unengaged,Medium,Not Free,Very High,Low,Other,A011,C0138,114306,Sanqiao,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,san-qiao
Sansoi,san-soi,India,7600,Kangri,Hinduism,32.099803,76.269101,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,113514,Sansoi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,sansoi
Sansu,sansu,China,18000,Hlersu,Ethnoreligion - Chinese Folk Religion,23.578959,102.245376,4,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0089,108663,Sansu,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,CHN,sansu
Santa Cruz,santa cruz,Solomon Islands,7100,Natügu,Christianity - Non-Evangelical Protestant,-10.8207,165.779,6,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A010,C0197,108667,Santa Cruz,SLB,BP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,SLB,santa cruz
"""Santarash",san-tara-sh,,India,4500,Maithili,Hinduism,26.402724,86.223411,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,113672,"""Sangtarash"," Hindu""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,santa-rash- hindu
Santia,san-tia,India,13000,Haroti,Hinduism,25.16951,75.853988,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,113515,"""Santia"," Hindu""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,santia
Sanuma,sanu-ma,Venezuela,1300,Sanumá,Ethnoreligion - Animism,4.42356,-64.51677,4,Unengaged,Medium,Not Free,Moderate,Low,Level 4: Do Not Travel,A007,C0010,108685,"""Sanuma"," Guaika""",VEN,VE,,,,American Peoples,,2,No Longer Unreached,"""<10","000""",Indigenous,VEN,sanuma
Sanye (Dahalo),sanye (da-halo-),Kenya,3300,Swahili,Ethnoreligion - Animism,-2.1843,40.36999,1,Unengaged,Strenuous,Partly Free,High,High,Level 2: Exercise Increased Caution,A004,C0345,102376,Dahalo,KEN,KE,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,KEN,sanye (dah-alo)
Sanye (Waata),sanye (waa-ta),Kenya,17000,Waata,Islam - Sunni,-2.44434,40.155897,1,Unengaged,Strenuous,Partly Free,High,High,Level 2: Exercise Increased Caution,A013,C0109,108687,Sanye,KEN,KE,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,KEN,sanye (wa-ata)
Sao Tome Deaf,sao tome def,Sao Tome and Principe,2200,Undetermined,Unknown,0.336,6.73,0,Unengaged,Strenuous,Free,Low,Low,Level 1: Exercise Normal Precautions,A017,C0252,114916,Deaf,STP,TP,,,,Deaf Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,STP,sao tome def
Sapalya,sapa-lya,India,4100,Tulu,Hinduism,15.127622,75.466611,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118985,Sapalya,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,sap-alya
Saparua,sapa-rua,Indonesia,7700,Ambonese Malay,Christianity - Evangelical Protestant,-3.58314,128.63857,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0130,108695,Saparua,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,sap-arua
Sape,sape,Venezuela,20,Ninam,Ethnoreligion,4.9447,-63.23631,1,Unengaged,Medium,Not Free,Moderate,Low,Level 4: Do Not Travel,A007,C0201,108697,Sape,VEN,VE,,,,American Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,VEN,sape
Sapo,sapo,Liberia,73500,Sapo,Ethnoreligion - Animism,5.69555,-8.49229,1,Unengaged,Extreme,Partly Free,Low,Low,Level 2: Exercise Increased Caution,A013,C0112,108699,Sapo,LBR,LI,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,LBR,sapo
Sapuan,sapua-n,Laos,5700,Sapuan,Ethnoreligion - Animism,15.36919,106.84294,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A011,C0147,108706,Sapuan,LAO,LA,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,LAO,sapuan
Sara Gambai,sara gam-bai,Sudan,16000,Ngambay,Ethnoreligion,12.0755,24.8752,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0189,108711,Sara Ngambai,SDN,SU,CD,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,SDN,sara gambai
Sara Mbai,sara mbai,Cameroon,6200,Mbay,Christianity - Neo-Pentecostalism,7.546307,15.446781,6,Unengaged,Strenuous,Not Free,Low,High,Level 2: Exercise Increased Caution,A013,C0189,108710,Sara Mbai,CMR,CM,CD,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,CMR,sara mbai
Sara Mbai,sara mbai,Central African Republic,15000,Mbay,Christianity - Neo-Pentecostalism,7.89228,17.59296,6,Unengaged,Extreme,Not Free,Moderate,High,Level 4: Do Not Travel,A013,C0189,108710,Sara Mbai,CAF,CT,CD,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""10","000+""",Indigenous,CAF,sara mbai
Saradagallu,sara-daga-llu,India,24500,Telugu,Hinduism,17.079082,78.200103,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118684,Saradagallu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,sarad-agallu
Saramaccan,sara-mac-can,French Guiana,6200,Saramaccan,Ethnoreligion,4.5283,-52.37213,4,Unengaged,Medium,Free,Moderate,High,Level 1: Exercise Normal Precautions,A009,C0254,108714,Saramaccan,GUF,FG,NS,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,GUF,saram-accan
Saramaccan,sara-mac-can,Suriname,35000,Saramaccan,Ethnoreligion,4.56627,-55.67555,6,Unengaged,Medium,Free,Low,Low,Level 1: Exercise Normal Precautions,A009,C0254,108714,Saramaccan,SUR,NS,,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,SUR,saram-accan
Sarania,sara-nia,India,5700,Gujarati,Hinduism,23.835575,72.998828,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118986,Sarania,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,sar-ania
Saraogi,sarao-gi,India,94000,Mewari,Other - Jainism,27.025886,74.202978,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0293,115175,Bania Saraogi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,IND,sar-aogi
Sarawak Dayak,sara-wak dayak,Malaysia,31000,Bau Bidayuh,Ethnoreligion - Animism,1.54467,109.98532,6,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,108720,"""Dayak"," Sarawak""",MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,MYS,sar-awak dayak
Sarodi,saro-di,India,35000,Marathi,Hinduism,20.358005,79.503837,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118685,Sarodi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,sarodi
Sarudu,saru-du,Indonesia,6100,Sarudu,Islam - Sunni,-1.7094,119.34941,5,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0103,108732,Sarudu,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,sarudu
Sasawa,sasa-wa,Indonesia,400,Kwerba,Christianity - Evangelical Protestant,-2.16193,138.35422,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,108738,Sasawa,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,sasawa
Satawalese,sata-walee-z,Micronesia,550,Satawalese,Christianity - Roman Catholicism,7.383,147.034,0,Unengaged,Strenuous,Free,Low,Low,Level 1: Exercise Normal Precautions,A010,C0139,108742,Satawalese,FSM,FM,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,FSM,sataw-alese
Sau,sau,Afghanistan,8500,Savi,Islam - Sunni,35.170868,71.455997,1,Unengaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A012,C0321,108746,Sau,AFG,AF,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,AFG,sau
"""Sauk-Fox",sau-k-fo-x,,United States,1400,English,Christianity - Non-Evangelical Protestant,35.65744,-96.75678,6,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,108750,"""Sac & Fox"," Meskwaki""",USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,USA,sauk--fox mesq-uakie
Sauri,sauri,Indonesia,175,Sauri,Christianity - Evangelical Protestant,-2.2805,136.7531,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,108754,Sauri,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,sauri
Savalakkarar,sava-lak-kara-r,India,950,Tamil,Hinduism,11.016844,76.955833,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,113542,Sayankulam,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,savala-kkarar
Savo Islander,savo isla-nde-r,Solomon Islands,4400,Savosavo,Christianity - Non-Evangelical Protestant,-9.115,159.83,5,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A010,C0197,108758,Savo Islander,SLB,BP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,SLB,savo isla-nder
Saweru,sawe-ru,Indonesia,450,Saweru,Christianity - Evangelical Protestant,-1.924,136.295,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,108760,Saweru,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,saweru
Sawknah,saw-kna-h,Libya,7400,Libyan Arabic,Islam - Sunni,29.0669,15.7847,1,Unengaged,Medium,Not Free,High,High,Level 4: Do Not Travel,A001,C0045,108762,Sawknah,LBY,LY,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,LBY,saw-knah
Sayyid (Chhattisgarhi),say-yid (ch-hat-tis-gar-hi),India,10000,Chhattisgarhi,Islam - Sunni,21.553505,81.793248,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0324,118832,"""Sayyid"," Chhattisgarhi""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,sayyid (ch-hatt-isgarhi)
Sayyid (Garhwali),say-yid (ga-rhwa-li),India,3700,Garhwali,Islam - Shia,29.866355,77.885144,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0324,118987,"""Sayyid"," Garhwali""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,sayyid (garh-wali)
Sayyid (Gujarati),say-yid (gu-jara-ti),India,172000,Gujarati,Islam - Sunni,21.109773,73.394804,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0324,118833,"""Sayyid"," Gujarati""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IND,sayyid (guja-rati)
Sayyid (Kannada),say-yid (ka-nna-da),India,81500,Kannada,Islam - Sunni,16.828857,75.720389,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0324,118836,"""Sayyid"," Kannada""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,IND,sayyid (kan-nada)
Sayyid (Oriya),say-yid (ori-ya),India,11500,Odia,Islam - Sunni,20.524004,85.63614,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0324,118841,"""Sayyid"," Odia""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,sayyid (or-iya)
Sayyid (Pahari),say-yid (pa-hari-),India,80,Garhwali,Islam - Sunni,33.629246,74.122755,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0324,118842,"""Sayyid"," Pahari""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,sayyid (pah-ari)
Sayyid (Tamil),say-yid (ta-mil-),India,152000,Tamil,Islam - Shia,8.719495,77.380377,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0324,118844,"""Sayyid"," Tamil""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IND,sayyid (ta-mil)
Scottish Gaelic,sco-tti-sh gae-lic,Canada,1200,Scottish Gaelic,Unaffiliated,46.25373403938459,-63.13658007,5,Unengaged,,,,,,A003,C0012,108775,"""Scots"," Gaelic""",CAN,CA,,,,European Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,CAN,scot-tish- gaelic
"""Scottish",sco-tti-sh,,United States,1800,Scottish Gaelic,Christianity - Evangelical Protestant,34.086512,-118.379354,4,Unengaged,Little,Free,Moderate,High,Caution,A003,C0012,108775,"""Scots"," Gaelic""",USA,US,,,,European Peoples,Yes,2,No Longer Unreached,"""<10","000""",Diaspora,USA,scot-tish- gaelic
Seba,seba,"""Congo"," Democratic Republic of the""",338000,Seba,Christianity - Roman Catholicism,-10.5091,27.5471,0,Unengaged,Extreme,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0258,115341,Kunda (Seba),COD,CG,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,COD,seba
Sebei,sebei,Sudan,24000,Sudanese Arabic,Islam - Sunni,10.732438,29.70457,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0153,108780,Sebei,SDN,SU,UG,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,SDN,sebei
Sebuyau,sebu-yau,Malaysia,10000,Iban,Ethnoreligion - Animism,1.42104,110.48038,5,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,108782,Sebuyau,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,MYS,seb-uyau
Sechelt,sec-hel-t,Canada,900,English,Christianity - Non-Evangelical Protestant,49.4789,-123.743,5,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,108783,Sechelt,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,CAN,sech--elt
Sedang,seda-ng,Laos,1200,Sedang,Ethnoreligion - Animism,14.648634,107.462128,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A011,C0147,108785,Sedang,LAO,LA,VM,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,LAO,sedang
Sediq,sediq,Taiwan,10500,Mandarin Chinese,Christianity - Non-Evangelical Protestant,23.90324,121.35776,6,Unengaged,Little,Free,Low,Low,Level 1: Exercise Normal Precautions,A002,C0210,108786,Sediq,TWN,TW,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,TWN,sediq
Segai,segai,Indonesia,3600,Segai,Ethnoreligion - Animism,2.2495,116.8379,4,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0059,108790,Segai,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,segai
Seget,seget,Indonesia,1900,Moi Lemas,Christianity - Evangelical Protestant,-1.36931,131.21812,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,108792,Seget,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,seget
Seit-Kaitetu,sei-t-kai-tetu,Indonesia,16500,Seit-Kaitetu,Islam - Sunni,-3.597,128.039,0,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0130,108795,Seit-Kaitetu,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IDN,seit-k-aitetu
Sekani,seka-ni,Canada,950,English,Christianity - Non-Evangelical Protestant,57.44212,-125.66411,5,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,108796,Sekani,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,CAN,sekani
Sekapan,seka-pan,Malaysia,1800,Sekapan,Ethnoreligion - Animism,2.615942,113.721433,6,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,108797,Sekapan,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MYS,sek-apan
Sekar,sekar,Indonesia,900,Sekar,Christianity - Evangelical Protestant,-2.65849,132.46881,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,108798,Sekar,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,sekar
Seke,seke,Equatorial Guinea,44000,Seki,Christianity - Non-Evangelical Protestant,2.12326,9.97856,5,Unengaged,Strenuous,Not Free,Moderate,Low,Level 2: Exercise Increased Caution,A013,C0271,108801,Seki,GNQ,EK,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,GNQ,seke
Seki,seki,Gabon,7100,Seki,Christianity - Non-Evangelical Protestant,0.9943,9.5805,5,Unengaged,Medium,Not Free,Low,Low,Level 2: Exercise Increased Caution,A013,C0271,108801,Seki,GAB,GB,EK,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,GAB,seki
Seko Tengah,seko ten-gah,Indonesia,3500,Seko Tengah,Christianity - Evangelical Protestant,-2.3458,119.8041,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0056,108803,Seko Tengah,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,seko tengah
Selekau,sele-kau,Malaysia,9500,Kendayan,Ethnoreligion,1.645736,109.778376,5,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,108812,Selekau,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MYS,sel-ekau
Selim,selim,Sudan,81000,Sudanese Arabic,Islam - Sunni,13.952,32.436,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A001,C0018,108814,"""Baggara"," Selim""",SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,SDN,selim
Selungai Murut,selu-ngai murut,Indonesia,850,Selungai Murut,Ethnoreligion - Animism,4.25799,116.48251,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0059,108815,Selungai Murut,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,selu-ngai murut
Selungai Murut,selu-ngai murut,Malaysia,550,Selungai Murut,Ethnoreligion - Animism,4.43777,116.41825,5,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,108815,Selungai Murut,MYS,MY,ID,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MYS,selu-ngai murut
Selvasa,sel-vasa,Indonesia,5200,Seluwasan,Christianity - Evangelical Protestant,-7.59918,131.25029,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0132,108816,Selvasa,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,sel-vasa
Semai,semai,Malaysia,57500,Semai,Ethnoreligion - Animism,4.1957,101.2637,4,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0230,108818,Semai,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""50","000+""",Indigenous,MYS,semai
Sembakung Murut,sem-baku-ng murut,Indonesia,4200,Sembakung Murut,Ethnoreligion - Animism,3.8312,116.9617,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0059,108823,Sembakung Murut,IDN,ID,MY,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,semb-akung murut
Sembakung Murut,sem-baku-ng murut,Malaysia,10000,Sembakung Murut,Ethnoreligion - Animism,4.39,116.456,5,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,108823,Sembakung Murut,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,MYS,semb-akung murut
Semelai,seme-lai,Malaysia,8500,Semelai,Ethnoreligion - Animism,2.82799,102.8062,4,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0230,108824,Semelai,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MYS,sem-elai
Semimi,semi-mi,Indonesia,1500,Semimi,Christianity - Evangelical Protestant,-3.8627,134.5203,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,108826,Semimi,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,semimi
Semman,sem-man,India,5800,Tamil,Hinduism,8.744973,77.906204,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,113572,Semman,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,semman
Semnani,sem-nani,Iran,71500,Semnani,Islam - Shia,35.5295,53.2868,1,Unengaged,Medium,Not Free,Very High,Moderate,Level 4: Do Not Travel,A005,C0179,108829,Semnani,IRN,IR,,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,IRN,sem-nani
Semoq Beri,semoq beri,Malaysia,5100,Semaq Beri,Ethnoreligion - Animism,4.1217,102.81572,4,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0230,108822,Semaq Beri,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MYS,semoq beri
Sena,sena,Mozambique,1780000,Sena,Ethnoreligion,-17.163651,34.896055,4,Unengaged,Extreme,Partly Free,Low,Low,Level 2: Exercise Increased Caution,A013,C0266,108831,Sena,MOZ,MZ,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""1",000,"000+""",Indigenous,MOZ,sena
Senaithalaivar,senai-tha-lai-var,India,176000,Tamil,Hinduism,8.088306,77.538451,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112273,Ilavaniyan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IND,senaith--alaivar
Senapathi,sena-pat-hi,India,10000,Telugu,Hinduism,18.298389,83.900636,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118846,Senapathi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,senap-ath-i
